"birth_info","url","player","position","date_of_birth_age","caps","franchise_province","team","club_province","country","lat","long"
"Steeton, England","https://en.wikipedia.org/wiki/Jack_Walker_(rugby_union)","Jack Walker","Hooker","(1996-05-06)6 May 1996 (aged 27)",4,NA,"England","Harlequins","England",53.896673,-1.9494405
"Leicester, England","https://en.wikipedia.org/wiki/Dan_Cole_(rugby_union)","Dan Cole","Prop","(1987-05-09)9 May 1987 (aged 36)",102,NA,"England","Leicester Tigers","England",52.6362,-1.1331969
"Bristol, England","https://en.wikipedia.org/wiki/Ellis_Genge","Ellis Genge (vc)","Prop","(1995-02-16)16 February 1995 (aged 28)",52,NA,"England","Bristol Bears","England",51.4538022,-2.5972985
"Eastbourne, England","https://en.wikipedia.org/wiki/Joe_Marler","Joe Marler","Prop","(1990-07-07)7 July 1990 (aged 33)",82,NA,"England","Harlequins","England",50.7664372,0.2781546
"Dunoon, Scotland","https://en.wikipedia.org/wiki/Bevan_Rodd","Bevan Rodd","Prop","(2000-08-26)26 August 2000 (aged 23)",3,NA,"England","Sale Sharks","Scotland",55.9470831,-4.924916
"Wandsworth, England","https://en.wikipedia.org/wiki/Kyle_Sinckler","Kyle Sinckler","Prop","(1993-03-30)30 March 1993 (aged 30)",63,NA,"England","Bristol Bears","England",51.4570271,-0.1932607
"Westminster, England","https://en.wikipedia.org/wiki/Will_Stuart","Will Stuart","Prop","(1996-07-12)12 July 1996 (aged 27)",29,NA,"England","Bath","England",51.5004439,-0.1265398
"Boston, England","https://en.wikipedia.org/wiki/Ollie_Chessum","Ollie Chessum","Lock","(2000-09-06)6 September 2000 (aged 23)",11,NA,"England","Leicester Tigers","England",52.9770408,-0.0239836
"Camden, England","https://en.wikipedia.org/wiki/Maro_Itoje","Maro Itoje","Lock","(1994-10-28)28 October 1994 (aged 28)",70,NA,"England","Saracens","England",51.54279655,-0.16248031357799
"Hackney, England","https://en.wikipedia.org/wiki/Courtney_Lawes","Courtney Lawes","Lock","(1989-02-23)23 February 1989 (aged 34)",100,NA,"England","Northampton Saints","England",51.5432402,-0.0493621
"Nottingham, England","https://en.wikipedia.org/wiki/George_Martin_(rugby_union)","George Martin","Lock","(2001-06-18)18 June 2001 (aged 22)",3,NA,"England","Leicester Tigers","England",52.9534193,-1.1496461
"Somerset West, South Africa","https://en.wikipedia.org/wiki/David_Ribbans","David Ribbans","Lock","(1995-08-29)29 August 1995 (aged 28)",8,NA,"England","Toulon","South Africa",-34.0822195,18.8489342
"Hounslow, England","https://en.wikipedia.org/wiki/Tom_Curry_(rugby_union)","Tom Curry","Back row","(1998-06-15)15 June 1998 (aged 25)",45,NA,"England","Sale Sharks","England",51.4686132,-0.3613471
"Redhill, England","https://en.wikipedia.org/wiki/Ben_Earl","Ben Earl","Back row","(1998-01-07)7 January 1998 (aged 25)",18,NA,"England","Saracens","England",51.2404691,-0.1682816
"Ipswich, England","https://en.wikipedia.org/wiki/Lewis_Ludlam","Lewis Ludlam","Back row","(1995-12-08)8 December 1995 (aged 27)",21,NA,"England","Northampton Saints","England",52.0579324,1.1528095
"Reading, England","https://en.wikipedia.org/wiki/Jack_Willis_(rugby_union)","Jack Willis","Back row","(1996-12-24)24 December 1996 (aged 26)",13,NA,"England","Toulouse","England",51.4564242,-0.9700664
"Sydney, New South Wales, Australia","https://en.wikipedia.org/wiki/Billy_Vunipola","Billy Vunipola","Back row","(1992-11-03)3 November 1992 (aged 30)",70,NA,"England","Saracens","Australia",-33.8698439,151.2082848
"Leeds, England","https://en.wikipedia.org/wiki/Danny_Care","Danny Care","Scrum-half","(1987-01-02)2 January 1987 (aged 36)",90,NA,"England","Harlequins","England",53.7974185,-1.5437941
"Maidstone, England","https://en.wikipedia.org/wiki/Alex_Mitchell_(rugby_union)","Alex Mitchell","Scrum-half","(1997-05-25)25 May 1997 (aged 26)",6,NA,"England","Northampton Saints","England",51.2748258,0.5231646
"Norwich, England","https://en.wikipedia.org/wiki/Jack_van_Poortvliet","Jack van Poortvliet","Scrum-half","(2001-05-15)15 May 2001 (aged 22)",14,NA,"England","Leicester Tigers","England",52.6285576,1.2923954
"Aylsham, England","https://en.wikipedia.org/wiki/Ben_Youngs","Ben Youngs","Scrum-half","(1989-09-05)5 September 1989 (aged 34)",124,NA,"England","Leicester Tigers","England",52.7950031,1.2511895
"Billinge Higher End, England","https://en.wikipedia.org/wiki/Owen_Farrell","Owen Farrell (c)","Fly-half","(1991-09-24)24 September 1991 (aged 31)",107,NA,"England","Saracens","England",53.5115857,-2.71576009610123
"Oldham, England","https://en.wikipedia.org/wiki/George_Ford_(rugby_union)","George Ford","Fly-half","(1993-03-16)16 March 1993 (aged 30)",85,NA,"England","Sale Sharks","England",53.5415797,-2.1147831
"Manila, Philippines","https://en.wikipedia.org/wiki/Marcus_Smith_(rugby_union)","Marcus Smith","Fly-half","(1999-02-14)14 February 1999 (aged 24)",24,NA,"England","Harlequins","Philippines",14.5906346,120.9799964
"Croydon, England","https://en.wikipedia.org/wiki/Elliot_Daly","Elliot Daly","Centre","(1992-10-08)8 October 1992 (aged 30)",59,NA,"England","Saracens","England",51.3713049,-0.101957
"Birmingham, England","https://en.wikipedia.org/wiki/Ollie_Lawrence","Ollie Lawrence","Centre","(1999-09-18)18 September 1999 (aged 23)",14,NA,"England","Bath","England",52.4796992,-1.9026911
"Winchester, England","https://en.wikipedia.org/wiki/Joe_Marchant_(rugby_union)","Joe Marchant","Centre","(1996-07-16)16 July 1996 (aged 27)",19,NA,"England","Stade Français","England",51.0612766,-1.3131692
"Fogapoa, Samoa","https://en.wikipedia.org/wiki/Manu_Tuilagi","Manu Tuilagi","Centre","(1991-05-18)18 May 1991 (aged 32)",53,NA,"England","Sale Sharks","Samoa",-13.6700726,-172.1760342
"Cambridge, England","https://en.wikipedia.org/wiki/Max_Malins","Max Malins","Wing","(1997-01-07)7 January 1997 (aged 26)",21,NA,"England","Bristol Bears","England",52.2055314,0.1186637
"Chiseldon, England","https://en.wikipedia.org/wiki/Jonny_May","Jonny May","Wing","(1990-04-01)1 April 1990 (aged 33)",72,NA,"England","Gloucester","England",51.5080531,-1.73367314702332
"Ashford, England","https://en.wikipedia.org/wiki/Anthony_Watson_(rugby_union)","Anthony Watson","Wing","(1994-02-26)26 February 1994 (aged 29)",56,NA,"England","Unattached","England",51.148555,0.8722566
"Cyprus","https://en.wikipedia.org/wiki/Henry_Arundell","Henry Arundell","Fullback","(2002-11-08)8 November 2002 (aged 20)",8,NA,"England","Racing 92","Cyprus",34.9823018,33.1451285
"East Dereham, England","https://en.wikipedia.org/wiki/Freddie_Steward","Freddie Steward","Fullback","(2000-12-05)5 December 2000 (aged 22)",26,NA,"England","Leicester Tigers","England",52.6802052,0.9386329
"Suita, Japan","https://en.wikipedia.org/wiki/Shota_Horie","Shota Horie","Hooker","(1986-01-21)21 January 1986 (aged 37)",72,NA,"Japan","Saitama Wild Knights","Japan",34.764884,135.51735
"Gunma, Japan","https://en.wikipedia.org/wiki/Kosuke_Horikoshi","Kosuke Horikoshi","Hooker","(1995-06-02)2 June 1995 (aged 28)",7,NA,"Japan","Tokyo Sungoliath","Japan",36.52198,139.033483
"Kyoto, Japan","https://en.wikipedia.org/wiki/Atsushi_Sakate","Atsushi Sakate","Hooker","(1993-06-21)21 June 1993 (aged 30)",37,NA,"Japan","Saitama Wild Knights","Japan",35.021041,135.7556075
"Tofoa, Tonga","https://en.wikipedia.org/wiki/Asaeli_Ai_Valu","Asaeli Ai Valu","Prop","(1989-05-07)7 May 1989 (aged 34)",26,NA,"Japan","Saitama Wild Knights","Tonga",-21.1551517,-175.2269029
NA,"https://en.wikipedia.org/w/index.php?title=Sione_Halasili&action=edit&redlink=1","Sione Halasili","Prop","(1999-10-15)15 October 1999 (aged 23)",0,NA,"Japan","Yokohama Canon Eagles",NA,NA,NA
"Niigata, Japan","https://en.wikipedia.org/wiki/Keita_Inagaki","Keita Inagaki","Prop","(1990-06-02)2 June 1990 (aged 33)",49,NA,"Japan","Saitama Wild Knights","Japan",37.6452283,138.7669125
"Seoul, South Korea","https://en.wikipedia.org/wiki/Koo_Ji-won","Koo Ji-won","Prop","(1994-07-20)20 July 1994 (aged 29)",25,NA,"Japan","Kobelco Kobe Steelers","South Korea",37.5666791,126.9782914
"Fukuoka, Japan","https://en.wikipedia.org/wiki/Shinnosuke_Kakinaga","Shinnosuke Kakinaga","Prop","(1991-12-19)19 December 1991 (aged 31)",12,NA,"Japan","Tokyo Sungoliath","Japan",33.6251241,130.6180016
"Dunedin, New Zealand","https://en.wikipedia.org/wiki/Craig_Millar_(rugby_union)","Craig Millar","Prop","(1990-10-29)29 October 1990 (aged 32)",13,NA,"Japan","Saitama Wild Knights","New Zealand",-45.8740984,170.5035755
"Gold Coast, Queensland, Australia","https://en.wikipedia.org/wiki/Jack_Cornelsen","Jack Cornelsen","Lock","(1994-10-13)13 October 1994 (aged 28)",16,NA,"Japan","Saitama Wild Knights","Australia",-28.0023731,153.4145987
"Wellington, New Zealand","https://en.wikipedia.org/wiki/Warner_Dearns","Warner Dearns","Lock","(2002-04-11)11 April 2002 (aged 21)",7,NA,"Japan","Toshiba Brave Lupus Tokyo","New Zealand",-41.2887953,174.7772114
NA,"https://en.wikipedia.org/w/index.php?title=Amato_Fakatava&action=edit&redlink=1","Amato Fakatava","Lock","(1994-12-07)7 December 1994 (aged 28)",3,NA,"Japan","Black Rams Tokyo",NA,NA,NA
"Nukuʻalofa, Tonga","https://en.wikipedia.org/wiki/Uwe_Helu","Uwe Helu 1,","Lock","(1990-07-12)12 July 1990 (aged 33)",19,NA,"Japan","Kubota Spears","Tonga",-21.1343401,-175.201808
"Brisbane, Queensland, Australia","https://en.wikipedia.org/wiki/James_Moore_(rugby_union)","James Moore","Lock","(1993-11-06)6 November 1993 (aged 29)",16,NA,"Japan","Urayasu D-Rocks","Australia",-27.4689682,153.0234991
NA,"https://en.wikipedia.org/w/index.php?title=Amanaki_Saumaki&action=edit&redlink=1","Amanaki Saumaki","Lock","(1997-03-08)8 March 1997 (aged 26)",1,NA,"Japan","Kobelco Kobe Steelers",NA,NA,NA
NA,"https://en.wikipedia.org/w/index.php?title=Shota_Fukui&action=edit&redlink=1","Shota Fukui","Back row","(1999-09-28)28 September 1999 (aged 23)",2,NA,"Japan","Saitama Wild Knights",NA,NA,NA
"Bangkok, Thailand","https://en.wikipedia.org/wiki/Ben_Gunter","Ben Gunter","Back row","(1997-10-24)24 October 1997 (aged 25)",8,NA,"Japan","Saitama Wild Knights","Thailand",13.8245796,100.6224463
"Nagoya, Japan","https://en.wikipedia.org/wiki/Kazuki_Himeno","Kazuki Himeno","Back row","(1994-07-27)27 July 1994 (aged 29)",29,NA,"Japan","Toyota Verblitz","Japan",35.1851045,136.8998438
"Pretoria, South Africa","https://en.wikipedia.org/wiki/Lappies_Labuschagn%C3%A9","Lappies Labuschagné","Back row","(1989-01-11)11 January 1989 (aged 34)",16,NA,"Japan","Kubota Spears","South Africa",-25.7459277,28.1879101
"Christchurch, New Zealand","https://en.wikipedia.org/wiki/Michael_Leitch","Michael Leitch","Back row","(1988-10-07)7 October 1988 (aged 34)",80,NA,"Japan","Toshiba Brave Lupus Tokyo","New Zealand",-43.530955,172.6364343
NA,"https://en.wikipedia.org/w/index.php?title=Kanji_Shimokawa&action=edit&redlink=1","Kanji Shimokawa","Back row","(1999-01-17)17 January 1999 (aged 24)",2,NA,"Japan","Tokyo Sungoliath",NA,NA,NA
"Ibaraki, Japan","https://en.wikipedia.org/wiki/Kenta_Fukuda","Kenta Fukuda","Scrum-half","(1996-12-19)19 December 1996 (aged 26)",0,NA,"Japan","Toyota Verblitz","Japan",36.2869536,140.4703384
"Fukuoka, Japan","https://en.wikipedia.org/wiki/Yutaka_Nagare","Yutaka Nagare","Scrum-half","(1992-09-04)4 September 1992 (aged 31)",34,NA,"Japan","Tokyo Sungoliath","Japan",33.6251241,130.6180016
"Kanagawa, Japan","https://en.wikipedia.org/wiki/Naoto_Saito","Naoto Saito","Scrum-half","(1997-08-26)26 August 1997 (aged 26)",15,NA,"Japan","Tokyo Sungoliath","Japan",35.4342935,139.374753
"Tokyo, Japan","https://en.wikipedia.org/wiki/Jumpei_Ogura","Jumpei Ogura","Fly-half","(1992-07-11)11 July 1992 (aged 31)",4,NA,"Japan","Yokohama Canon Eagles","Japan",35.6840574,139.7744912
"Kyoto, Japan","https://en.wikipedia.org/wiki/Rikiya_Matsuda","Rikiya Matsuda","Fly-half","(1994-05-03)3 May 1994 (aged 29)",33,NA,"Japan","Saitama Wild Knights","Japan",35.021041,135.7556075
"Hyogo, Japan","https://en.wikipedia.org/wiki/Lee_Seung-sin","Lee Seung-sin","Fly-half","(2001-01-13)13 January 2001 (aged 22)",10,NA,"Japan","Kobelco Kobe Steelers","Japan",34.914934,134.860666
"Kagoshima, Japan","https://en.wikipedia.org/wiki/Ryoto_Nakamura","Ryoto Nakamura","Centre","(1991-06-03)3 June 1991 (aged 32)",35,NA,"Japan","Tokyo Sungoliath","Japan",31.521587,130.5474077
"Fukuoka, Japan","https://en.wikipedia.org/wiki/Sh%C5%8Dgo_Nakano","Shōgo Nakano","Centre","(1997-06-11)11 June 1997 (aged 26)",7,NA,"Japan","Tokyo Sungoliath","Japan",33.6251241,130.6180016
"Durban, South Africa","https://en.wikipedia.org/wiki/Dylan_Riley_(rugby_union)","Dylan Riley","Centre","(1997-05-02)2 May 1997 (aged 26)",14,NA,"Japan","Saitama Wild Knights","South Africa",-29.861825,31.009909
NA,"https://en.wikipedia.org/w/index.php?title=Tomoki_Osada&action=edit&redlink=1","Tomoki Osada","Centre","(1999-11-25)25 November 1999 (aged 23)",4,NA,"Japan","Saitama Wild Knights",NA,NA,NA
"Nukuʻalofa, Tonga","https://en.wikipedia.org/wiki/Siosaia_Fifita","Siosaia Fifita","Wing","(1998-12-20)20 December 1998 (aged 24)",12,NA,"Japan","Toyota Verblitz","Tonga",-21.1343401,-175.201808
"Auckland, New Zealand","https://en.wikipedia.org/wiki/Lomano_Lemeki","Lomano Lemeki","Wing","(1989-01-20)20 January 1989 (aged 34)",16,NA,"Japan","Green Rockets Tokatsu","New Zealand",-36.5412811,174.550610491441
"Taveuni, Fiji","https://en.wikipedia.org/wiki/Semisi_Masirewa","Semisi Masirewa","Wing","(1992-06-09)9 June 1992 (aged 31)",5,NA,"Japan","Hanazono Kintetsu Liners","Fiji",-16.8261493,-179.9354607
NA,"https://en.wikipedia.org/w/index.php?title=Jone_Naikabula&action=edit&redlink=1","Jone Naikabula","Wing","(1994-04-12)12 April 1994 (aged 29)",4,NA,"Japan","Toshiba Brave Lupus Tokyo",NA,NA,NA
"Pretoria, South Africa","https://en.wikipedia.org/wiki/Kotaro_Matsushima","Kotaro Matsushima","Fullback","(1993-02-26)26 February 1993 (aged 30)",51,NA,"Japan","Tokyo Sungoliath","South Africa",-25.7459277,28.1879101
"La Plata, Argentina","https://en.wikipedia.org/wiki/Agust%C3%ADn_Creevy","Agustín Creevy","Hooker","(1985-03-15)15 March 1985 (aged 38)",101,NA,"Argentina","Sale Sharks","Argentina",-34.9206797,-57.9537638
"Buenos Aires, Argentina","https://en.wikipedia.org/wiki/Juli%C3%A1n_Montoya","Julián Montoya (c)","Hooker","(1993-10-29)29 October 1993 (aged 29)",89,NA,"Argentina","Leicester Tigers","Argentina",-34.6075682,-58.4370894
"Buenos Aires, Argentina","https://en.wikipedia.org/wiki/Ignacio_Ruiz_(rugby_union)","Ignacio Ruiz","Hooker","(2001-01-03)3 January 2001 (aged 22)",6,NA,"Argentina","Perpignan","Argentina",-34.6075682,-58.4370894
"Córdoba, Argentina","https://en.wikipedia.org/wiki/Eduardo_Bello","Eduardo Bello","Prop","(1995-11-27)27 November 1995 (aged 27)",14,NA,"Argentina","Newcastle Falcons","Argentina",-31.4166867,-64.1834193
"Tucumán, Argentina","https://en.wikipedia.org/wiki/Thomas_Gallo_(rugby_union)","Thomas Gallo","Prop","(1999-04-30)30 April 1999 (aged 24)",17,NA,"Argentina","Benetton","Argentina",-26.5643582,-64.882397
"Buenos Aires, Argentina","https://en.wikipedia.org/wiki/Francisco_G%C3%B3mez_Kodela","Francisco Gómez Kodela","Prop","(1985-07-07)7 July 1985 (aged 38)",31,NA,"Argentina","Lyon","Argentina",-34.6075682,-58.4370894
"Mar del Plata, Argentina","https://en.wikipedia.org/wiki/Joel_Sclavi","Joel Sclavi","Prop","(1994-06-25)25 June 1994 (aged 29)",12,NA,"Argentina","La Rochelle","Argentina",-37.9977225,-57.5482703
"General Madariaga, Argentina","https://en.wikipedia.org/wiki/Nahuel_Tetaz_Chaparro","Nahuel Tetaz Chaparro","Prop","(1989-03-11)11 March 1989 (aged 34)",78,NA,"Argentina","Benetton","Argentina",-36.9952343,-57.1369265
"Rafaela, Argentina","https://en.wikipedia.org/wiki/Mayco_Vivas","Mayco Vivas","Prop","(1998-06-02)2 June 1998 (aged 25)",19,NA,"Argentina","Gloucester","Argentina",-31.2526923,-61.4916758
"Córdoba, Argentina","https://en.wikipedia.org/wiki/Mat%C3%ADas_Alemanno","Matías Alemanno","Lock","(1991-12-05)5 December 1991 (aged 31)",87,NA,"Argentina","Gloucester","Argentina",-31.4166867,-64.1834193
"Buenos Aires, Argentina","https://en.wikipedia.org/wiki/Tom%C3%A1s_Lavanini","Tomás Lavanini","Lock","(1993-01-22)22 January 1993 (aged 30)",82,NA,"Argentina","Clermont","Argentina",-34.6075682,-58.4370894
"Buenos Aires, Argentina","https://en.wikipedia.org/wiki/Guido_Petti","Guido Petti","Lock","(1994-09-17)17 September 1994 (aged 28)",75,NA,"Argentina","Bordeaux Bègles","Argentina",-34.6075682,-58.4370894
"Sante Fe, Argentina","https://en.wikipedia.org/wiki/Pedro_Rubiolo","Pedro Rubiolo","Lock","(2002-12-12)12 December 2002 (aged 20)",5,NA,"Argentina","Newcastle Falcons","Argentina",-28.6756307,-60.0690417
"Tandil, Argentina","https://en.wikipedia.org/wiki/Rodrigo_Bruni","Rodrigo Bruni","Back row","(1993-09-03)3 September 1993 (aged 30)",21,NA,"Argentina","Bayonne","Argentina",-37.3282887,-59.1356957
"Mendoza, Argentina","https://en.wikipedia.org/wiki/Juan_Mart%C3%ADn_Gonz%C3%A1lez","Juan Martín González","Back row","(2000-11-14)14 November 2000 (aged 22)",24,NA,"Argentina","Saracens","Argentina",-34.78709305,-68.4381867731229
"Buenos Aires, Argentina","https://en.wikipedia.org/wiki/Santiago_Grondona","Santiago Grondona","Back row","(1998-07-25)25 July 1998 (aged 25)",15,NA,"Argentina","Bristol Bears","Argentina",-34.6075682,-58.4370894
"Santiago del Estero, Argentina","https://en.wikipedia.org/wiki/Facundo_Isa","Facundo Isa","Back row","(1993-09-21)21 September 1993 (aged 29)",47,NA,"Argentina","Toulon","Argentina",-27.6431016,-63.5408542
"Concordia, Argentina","https://en.wikipedia.org/wiki/Marcos_Kremer","Marcos Kremer","Back row","(1997-07-30)30 July 1997 (aged 26)",57,NA,"Argentina","Clermont","Argentina",-31.3972539,-58.0173305
"Buenos Aires, Argentina","https://en.wikipedia.org/wiki/Pablo_Matera","Pablo Matera","Back row","(1993-07-18)18 July 1993 (aged 30)",95,NA,"Argentina","Mie Honda Heat","Argentina",-34.6075682,-58.4370894
"Córdoba, Argentina","https://en.wikipedia.org/wiki/Joaqu%C3%ADn_Oviedo","Joaquín Oviedo","Back row","(1998-07-25)25 July 1998 (aged 25)",1,NA,"Argentina","Perpignan","Argentina",-31.4166867,-64.1834193
"Cordoba, Argentina","https://en.wikipedia.org/wiki/Lautaro_Baz%C3%A1n","Lautaro Bazán","Scrum-half","(1996-02-24)24 February 1996 (aged 27)",7,NA,"Argentina","Rovigo Delta","Argentina",-31.4166867,-64.1834193
"Mendoza, Argentina","https://en.wikipedia.org/wiki/Gonzalo_Bertranou","Gonzalo Bertranou","Scrum-half","(1993-12-31)31 December 1993 (aged 29)",53,NA,"Argentina","Dragons","Argentina",-34.78709305,-68.4381867731229
"Buenos Aires, Argentina","https://en.wikipedia.org/wiki/Tom%C3%A1s_Cubelli","Tomás Cubelli","Scrum-half","(1989-06-12)12 June 1989 (aged 34)",89,NA,"Argentina","Miami Sharks","Argentina",-34.6075682,-58.4370894
"Córdoba, Argentina","https://en.wikipedia.org/wiki/Santiago_Carreras","Santiago Carreras","Fly-half","(1998-03-30)30 March 1998 (aged 25)",35,NA,"Argentina","Gloucester","Argentina",-31.4166867,-64.1834193
"Tucumán, Argentina","https://en.wikipedia.org/wiki/Nicol%C3%A1s_S%C3%A1nchez_(rugby_union)","Nicolás Sánchez","Fly-half","(1988-08-26)26 August 1988 (aged 35)",98,NA,"Argentina","Unattached","Argentina",-26.5643582,-64.882397
"Rufino, Argentina","https://en.wikipedia.org/wiki/Santiago_Chocobares","Santiago Chocobares","Centre","(1999-03-31)31 March 1999 (aged 24)",14,NA,"Argentina","Toulouse","Argentina",-34.261856,-62.7111701
"La Plata, Argentina","https://en.wikipedia.org/wiki/Lucio_Cinti","Lucio Cinti","Centre","(2000-02-23)23 February 2000 (aged 23)",16,NA,"Argentina","Saracens","Argentina",-34.9206797,-57.9537638
"Rosario, Argentina","https://en.wikipedia.org/wiki/Jer%C3%B3nimo_de_la_Fuente","Jerónimo de la Fuente","Centre","(1991-02-24)24 February 1991 (aged 32)",76,NA,"Argentina","Perpignan","Argentina",-32.9593609,-60.6617024
"Buenos Aires, Argentina","https://en.wikipedia.org/wiki/Mat%C3%ADas_Moroni","Matías Moroni","Centre","(1991-03-29)29 March 1991 (aged 32)",74,NA,"Argentina","Newcastle Falcons","Argentina",-34.6075682,-58.4370894
"Rosario, Argentina","https://en.wikipedia.org/wiki/Emiliano_Boffelli","Emiliano Boffelli","Wing","(1995-01-16)16 January 1995 (aged 28)",53,NA,"Argentina","Edinburgh","Argentina",-32.9593609,-60.6617024
"Tucuman, Argentina","https://en.wikipedia.org/wiki/Mateo_Carreras","Mateo Carreras","Wing","(1999-12-17)17 December 1999 (aged 23)",11,NA,"Argentina","Newcastle Falcons","Argentina",-26.5643582,-64.882397
"Rosario, Argentina","https://en.wikipedia.org/wiki/Juan_Imhoff","Juan Imhoff","Wing","(1988-05-11)11 May 1988 (aged 35)",42,NA,"Argentina","Racing 92","Argentina",-32.9593609,-60.6617024
"Mendoza, Argentina","https://en.wikipedia.org/wiki/Rodrigo_Isgro","Rodrigo Isgro","Wing","(1999-03-24)24 March 1999 (aged 24)",2,NA,"Argentina","Unión Argentina de Rugby","Argentina",-34.78709305,-68.4381867731229
"Misiones, Argentina","https://en.wikipedia.org/wiki/Mart%C3%ADn_Bogado","Martín Bogado","Fullback","(1998-04-29)29 April 1998 (aged 25)",2,NA,"Argentina","Highlanders","Argentina",-26.737224,-54.4315257
"Córdoba, Argentina","https://en.wikipedia.org/wiki/Juan_Cruz_Mall%C3%ADa","Juan Cruz Mallía","Fullback","(1996-09-11)11 September 1996 (aged 26)",26,NA,"Argentina","Toulouse","Argentina",-31.4166867,-64.1834193
"Hamilton, New Zealand","https://en.wikipedia.org/wiki/Seilala_Lam","Seilala Lam","Hooker","(1989-02-18)18 February 1989 (aged 34)",23,NA,"Samoa","Perpignan","New Zealand",-37.7878809,175.281788
"Auckland, New Zealand","https://en.wikipedia.org/wiki/Sama_Malolo","Sama Malolo","Hooker","(1998-02-19)19 February 1998 (aged 25)",3,NA,"Samoa","San Diego Legion","New Zealand",-36.5412811,174.550610491441
"Auckland, New Zealand","https://en.wikipedia.org/wiki/Luteru_Tolai","Luteru Tolai","Hooker","(1998-06-01)1 June 1998 (aged 25)",3,NA,"Samoa","Moana Pasifika","New Zealand",-36.5412811,174.550610491441
"Sydney, New South Wales, Australia","https://en.wikipedia.org/wiki/Michael_Ala%27alatoa","Michael Ala'alatoa (c)","Prop","(1991-08-28)28 August 1991 (aged 32)",13,NA,"Samoa","Leinster","Australia",-33.8698439,151.2082848
"Auckland, New Zealand","https://en.wikipedia.org/wiki/Paul_Alo-Emile","Paul Alo-Emile","Prop","(1991-12-22)22 December 1991 (aged 31)",21,NA,"Samoa","Stade Français","New Zealand",-36.5412811,174.550610491441
"Auckland, New Zealand","https://en.wikipedia.org/wiki/Charlie_Faumuina","Charlie Faumuina","Prop","(1986-12-24)24 December 1986 (aged 36)",3,NA,"Samoa","Toulouse","New Zealand",-36.5412811,174.550610491441
"Motoʻotua, Samoa","https://en.wikipedia.org/wiki/James_Lay","James Lay","Prop","(1993-12-16)16 December 1993 (aged 29)",12,NA,"Samoa","Blues","Samoa",-13.84660305,-171.761510105151
"Motoʻotua, Samoa","https://en.wikipedia.org/wiki/Jordan_Lay","Jordan Lay","Prop","(1992-11-05)5 November 1992 (aged 30)",26,NA,"Samoa","Blues","Samoa",-13.84660305,-171.761510105151
"Invercargill, New Zealand","https://en.wikipedia.org/wiki/Brian_Alainu%27uese","Brian Alainu'uese","Lock","(1994-03-19)19 March 1994 (aged 29)",5,NA,"Samoa","Toulon","New Zealand",-46.4118465,168.3470632
"Apia, Samoa","https://en.wikipedia.org/wiki/Theo_McFarland","Theo McFarland","Lock","(1995-10-16)16 October 1995 (aged 27)",7,NA,"Samoa","Saracens","Samoa",-13.8344639,-171.7649144
"Auckland, New Zealand","https://en.wikipedia.org/wiki/Sam_Slade_(rugby_union)","Sam Slade","Lock","(1997-08-28)28 August 1997 (aged 26)",4,NA,"Samoa","Moana Pasifika","New Zealand",-36.5412811,174.550610491441
"Auckland, New Zealand","https://en.wikipedia.org/wiki/Chris_Vui","Chris Vui (c)","Lock","(1993-02-11)11 February 1993 (aged 30)",25,NA,"Samoa","Bristol Bears","New Zealand",-36.5412811,174.550610491441
"Auckland, New Zealand","https://en.wikipedia.org/wiki/So%27otala_Fa%27aso%27o","So'otala Fa'aso'o","Back row","(1994-10-02)2 October 1994 (aged 28)",1,NA,"Samoa","Perpignan","New Zealand",-36.5412811,174.550610491441
"Apia, Samoa","https://en.wikipedia.org/wiki/Miracle_Fai%CA%BBilagi","Miracle Faiʻilagi","Back row","(1999-08-31)31 August 1999 (aged 24)",3,NA,"Samoa","Moana Pasifika","Samoa",-13.8344639,-171.7649144
"Motoʻotua, Samoa","https://en.wikipedia.org/wiki/Fritz_Lee","Fritz Lee","Back row","(1988-08-29)29 August 1988 (aged 35)",7,NA,"Samoa","Clermont","Samoa",-13.84660305,-171.761510105151
"Auckland, New Zealand","https://en.wikipedia.org/wiki/Steve_Luatua","Steve Luatua","Back row","(1991-04-29)29 April 1991 (aged 32)",3,NA,"Samoa","Bristol Bears","New Zealand",-36.5412811,174.550610491441
"Auckland, New Zealand","https://en.wikipedia.org/wiki/Alamanda_Motuga","Alamanda Motuga","Back row","(1995-09-11)11 September 1995 (aged 27)",5,NA,"Samoa","Moana Pasifika","New Zealand",-36.5412811,174.550610491441
"Auckland, New Zealand","https://en.wikipedia.org/wiki/Taleni_Seu","Taleni Seu","Back row","(1993-12-26)26 December 1993 (aged 29)",6,NA,"Samoa","Toyota Shuttles","New Zealand",-36.5412811,174.550610491441
"Auckland, New Zealand","https://en.wikipedia.org/wiki/Jordan_Taufua","Jordan Taufua","Back row","(1992-01-29)29 January 1992 (aged 31)",6,NA,"Samoa","Lyon","New Zealand",-36.5412811,174.550610491441
"Auckland, New Zealand","https://en.wikipedia.org/wiki/Ere_Enari","Ere Enari","Scrum-half","(1997-05-30)30 May 1997 (aged 26)",7,NA,"Samoa","Moana Pasifika","New Zealand",-36.5412811,174.550610491441
"Motoʻotua, Samoa","https://en.wikipedia.org/wiki/Melani_Matavao","Melani Matavao","Scrum-half","(1995-11-19)19 November 1995 (aged 27)",13,NA,"Samoa","Lakapi Samoa","Samoa",-13.84660305,-171.761510105151
